"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 14 03:14:34 GMT 2021","Sun Feb 14 03:14:36 GMT 2021","1693","","Login As Bank Manager Testcase","","","","Validate Title of the Page",""
"passed","Sun Feb 14 03:14:34 GMT 2021","Sun Feb 14 03:14:36 GMT 2021","1687","","Login As Bank Manager Testcase","","Login As Bank Manager Testcase","Validate Title of the Page","Validate Title of the Page",""
"passed","Sun Feb 14 03:14:00 GMT 2021","Sun Feb 14 03:14:20 GMT 2021","20175","","Add New Customer TestSuite","","Add New Customer TestSuite","Add New Customer Testcase","Add New Customer Testcase",""
"passed","Sun Feb 14 03:14:48 GMT 2021","Sun Feb 14 03:14:54 GMT 2021","5639","","Open Account TestSuite","","Open Account TestSuite","Open Account Testcase","Open Account Testcase",""
"passed","Sun Feb 14 03:14:48 GMT 2021","Sun Feb 14 03:14:54 GMT 2021","5638","","Open Account TestSuite","","","","Open Account Testcase",""
"passed","Sun Feb 14 03:14:00 GMT 2021","Sun Feb 14 03:14:20 GMT 2021","20172","","Add New Customer TestSuite","","","","Add New Customer Testcase",""
"passed","Sun Feb 14 03:14:36 GMT 2021","Sun Feb 14 03:14:37 GMT 2021","821","","Login As Bank Manager Testcase","","","","Verify Login As Bank Manager",""
"passed","Sun Feb 14 03:14:37 GMT 2021","Sun Feb 14 03:14:37 GMT 2021","426","","Login As Bank Manager Testcase","","","","Verify Login As Customer",""
"passed","Sun Feb 14 03:14:37 GMT 2021","Sun Feb 14 03:14:37 GMT 2021","417","","Login As Bank Manager Testcase","","Login As Bank Manager Testcase","Verify Login As Customer","Verify Login As Customer",""
"passed","Sun Feb 14 03:14:36 GMT 2021","Sun Feb 14 03:14:37 GMT 2021","819","","Login As Bank Manager Testcase","","Login As Bank Manager Testcase","Verify Login As Bank Manager","Verify Login As Bank Manager",""
